trade_count,avg_closedPnL,median_closedPnL,win_rate,total_size
40184,20.806304824731235,0.0,0.428230141349791,3877302.79029409
21192,44.364090516232544,0.0,0.46758210645526616,4425939.38073
15605,6.81210350887536,0.0,0.3457866068567767,4164181.7065657
14998,2.928191023869849,0.0,0.26196826243499133,116349673.59086393
14733,145.48174829898866,0.0,0.3371343243059798,90349567.01146412
13311,9.951529904139434,0.0,0.43858462925400044,27605384.900508814
12236,68.68441935403726,0.0,0.40119320039228507,438268.67053
9893,38.3195599627009,7.722845,0.8108763772364298,560933936.84636
8519,12.130967972884141,0.0,0.35344524005164923,6537135.02281467
7584,40.740489150316456,0.0,0.3603639240506329,10288.38885157
7280,6.5776539167582415,0.0,0.4427197802197802,3662334.39337574
4838,4.648305254443986,0.0,0.4386109962794543,1297052.73808
4601,-36.43145507085416,0.0,0.38274288198217776,6480422.20634
4356,155.58931373806246,0.0,0.48622589531680444,15980552.81432
3818,419.1277684596647,0.0,0.3596123624934521,61726.3872
3809,-18.49204287687057,0.0,0.3019165135206091,726000.7400468
3589,4.0281190682641395,0.0,0.32766787405962666,8612316.37074
3239,52.0710111126891,0.429,0.5199135535659154,87920313.816
3052,41.47409637418087,0.0,0.2853866317169069,4985260.98240795
2641,83.49831952025748,0.0,0.32752745172283226,10148425.69759
1911,34.2823955552067,0.0,0.33019361590790164,1286673.63132
1590,270.0349471163522,0.0,0.34591194968553457,708355.66
1559,9.557692781911483,0.0,0.45221295702373315,255504.48008
1430,281.8262266846154,0.0,0.3062937062937063,2986742.91
1237,336.735547567502,0.0,0.48423605497170574,1798633.6588314
975,111.51919668923077,0.0,0.4317948717948718,1060363.16160212
815,-38.28662574969325,0.0,0.45521472392638035,5756736.81909362
563,120.50731710657195,0.0,0.40852575488454707,6627804.49860239
534,40.746875941947565,0.0,0.32209737827715357,71.58486
417,174.6918088057554,8.418833,0.5731414868105515,701612.05811735
383,520.9023308929503,0.0,0.2349869451697128,191229.92496
332,161.13327482831323,0.0,0.4759036144578313,625831.4357428
